BENCH;backend;size;block_size;iterations;thread;gpus;time
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;4;17.46758600
nbody;PARALLEL_BACK_STARPU;81920;2048;5;23;4;9.05306400
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;27;1;13.11443138
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;4;5.25278521
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;2;13.51029500
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;3;7.23638100
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;3;15.89244300
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;4;10.86391200
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;2;24.67140100
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;3;5.38256598
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;3;23.11830000
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;2;6.25871706
nbody;PARALLEL_BACK_STARPU;65536;2048;5;25;3;7.47398600
nbody;PARALLEL_BACK_STARPU;98304;2048;5;23;2;16.29260300
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;22;3;8.34645844
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;26;1;10.50935936
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;1;5.83799601
nbody;PARALLEL_BACK_STARPU;81920;2048;5;26;1;14.61972900
nbody;PARALLEL_BACK_STARPU;131072;2048;5;22;1;33.38295700
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;4;12.77187300
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;1;5.90763712
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;1;25.32054000
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;2;4.56302500
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;26;2;9.76792717
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;23;3;10.07545280
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;4;11.38991070
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;1;21.66097000
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;2;16.39365100
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;1;25.73328200
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;2;14.76148900
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;3;3.98920298
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;1;29.47383800
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;4;6.82185500
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;1;8.41575241
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;1;26.55292200
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;27;1;10.82681465
nbody;PARALLEL_BACK_STARPU;81920;2048;5;25;2;9.09315600
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;3;11.41628000
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;3;17.29691700
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;24;4;9.51023293
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;1;5.79436398
nbody;PARALLEL_BACK_STARPU;65536;2048;5;25;3;7.77691900
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;4;6.78737800
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;1;26.22436100
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;1;7.53886900
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;24;4;11.03441525
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;1;31.28946500
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;2;6.13549089
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;4;8.38979912
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;24;3;8.53899956
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;4;6.85345800
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;3;24.10398500
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;2;7.27495400
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;26;2;11.09578323
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;22;4;8.79826355
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;2;6.30400801
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;3;7.30556300
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;3;7.29815600
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;2;26.00108700
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;2;15.69969000
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;1;8.45408344
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;1;16.01960945
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;1;11.05980301
nbody;PARALLEL_BACK_STARPU;98304;2048;5;23;1;22.65266000
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;1;8.39274311
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;1;10.84486294
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;23;4;10.80766582
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;3;3.97289395
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;2;11.52154064
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;26;1;12.96474457
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;3;4.19073486
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;2;7.83637619
nbody;PARALLEL_BACK_STARPU;131072;2048;5;25;3;23.49067800
nbody;PARALLEL_BACK_STARPU;81920;2048;5;22;1;18.95368900
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;4;6.89262500
nbody;PARALLEL_BACK_STARPU;81920;2048;5;22;2;9.74304400
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;3;18.18782900
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;4;14.30467200
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;2;27.69952600
nbody;PARALLEL_BACK_STARPU;114688;2048;5;26;2;24.84442300
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;3;5.24049711
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;27;1;13.42558861
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;2;7.24624800
