BENCH;backend;size;block_size;iterations;thread;gpus;time
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;20.49681800
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;20.54983200
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;20.61976300
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;20.68007200
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;21.16362400
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;21.44158000
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;21.52755400
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;21.85930600
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;21.90319200
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;21.99553900
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;22.04994900
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;22.15855100
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;22.16896200
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;22.24210800
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;22.35468300
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;22.44073000
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;22.70705900
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;23.07269900
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.01302700
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.12810500
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.12866800
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.13679300
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.17787500
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.39674500
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.40584200
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.46873400
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.51315600
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.61466600
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.69565900
nbody;PARALLEL_BACK_STARPU_KAAPI;131072;2048;5;25;3;24.74634700
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.58332920
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.58431435
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.64503765
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.67612457
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.70382309
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.71588993
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.73073006
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.75657558
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.78922176
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.81258011
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.84455299
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.85193920
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.88838959
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.95364666
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.95889282
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;13.97388458
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;14.23116493
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;14.28294086
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;15.46364594
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;15.67493629
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;16.37184906
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;16.39302826
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;16.53230858
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;16.54675674
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;16.64466858
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;16.79488564
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;16.87104416
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;17.22919273
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;17.28690338
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;27;1;17.28865242
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.37339000
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.44514100
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.49230400
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.57784900
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.66644100
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.70495900
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.74459000
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.76480900
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.78398100
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.80637700
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.82389300
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.83483500
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.83544000
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.83568800
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.84403500
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.84446600
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.84466100
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.84846000
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.85638700
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.85748300
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.85795700
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.86207600
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.86603000
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.87323500
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.87472800
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.87614900
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.87821700
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.88053800
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.88226900
cfd;PARALLEL_BACK_STARPU_KAAPI;98304;2048;100;10;3;5.91213600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;19.84666400
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;20.75270000
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;20.80447400
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.03695500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.13423600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.16887600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.19629600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.25587600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.40773300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.41768500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.61673600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.62427300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.73114500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.95689100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.95995600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;21.97906000
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.04299300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.10258300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.10629100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.13470300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.32506500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.38115800
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.46035300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.50070100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.53365500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.55862500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.70968300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;22.71679900
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;23.20448100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;26;2;23.26912700
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;22.38780500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;22.70679500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;22.96081800
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.12093000
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.14585700
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.26075700
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.51902600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.65042700
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.75332200
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.90702200
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.92334100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;23.95439300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.03696800
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.03902600
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.05207800
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.07523300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.15327500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.18594700
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.26564500
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.31492700
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.47641100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.69183300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;24.89350300
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;25.05387900
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;25.28432700
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;25.34915200
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;25.59592100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;25.91859800
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;25.95151100
cfd;PARALLEL_BACK_STARPU_KAAPI;114688;2048;100;27;1;26.08413500
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;10;4;8.69957542
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;10;4;8.70984077
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;10;4;8.71568489
hotspot;PARALLEL_BACK_STARPU_KAAPI;18432;1024;5;10;4;8.74207306
