State, UserThread77387, User Thread State, 2389.565612, 2389.606547, 0.040935, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.611895, 2389.615408, 0.003513, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.667396, 2389.670850, 0.003454, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.671605, 2389.673382, 0.001777, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.711519, 2389.714053, 0.002534, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.714539, 2389.716339, 0.001800, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.750178, 2389.752094, 0.001916, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.752581, 2389.754331, 0.001750, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.787618, 2389.789436, 0.001818, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.790108, 2389.791981, 0.001873, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.830232, 2389.832748, 0.002516, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.833276, 2389.834959, 0.001683, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.869223, 2389.871540, 0.002317, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.872287, 2389.874047, 0.001760, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.908042, 2389.909923, 0.001881, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.910443, 2389.912041, 0.001598, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.945782, 2389.947589, 0.001807, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.948094, 2389.949970, 0.001876, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.986651, 2389.988657, 0.002006, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2389.989222, 2389.990954, 0.001732, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.028379, 2390.031167, 0.002788, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.031789, 2390.033515, 0.001726, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.071558, 2390.074171, 0.002613, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.074787, 2390.076696, 0.001909, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.113614, 2390.115451, 0.001837, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.115920, 2390.117449, 0.001529, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.151266, 2390.153047, 0.001781, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.153544, 2390.155213, 0.001669, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.190596, 2390.192466, 0.001870, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.193180, 2390.194886, 0.001706, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.230079, 2390.232270, 0.002191, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.232839, 2390.234660, 0.001821, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.269033, 2390.270720, 0.001687, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.271204, 2390.272901, 0.001697, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.312867, 2390.316057, 0.003190, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.316612, 2390.318238, 0.001626, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.354008, 2390.356575, 0.002567, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.357101, 2390.358814, 0.001713, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.394878, 2390.396630, 0.001752, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.397124, 2390.398825, 0.001701, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.432371, 2390.434382, 0.002011, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.435274, 2390.436913, 0.001639, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.471599, 2390.473450, 0.001851, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.473983, 2390.475775, 0.001792, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.509322, 2390.511038, 0.001716, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.511538, 2390.513194, 0.001656, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.549596, 2390.551361, 0.001765, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.551871, 2390.553677, 0.001806, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.587596, 2390.589366, 0.001770, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.589909, 2390.591596, 0.001687, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.640966, 2390.643631, 0.002665, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.644294, 2390.646067, 0.001773, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.682495, 2390.684413, 0.001918, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.684902, 2390.686480, 0.001578, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.721068, 2390.723001, 0.001933, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.723531, 2390.725205, 0.001674, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.761810, 2390.763628, 0.001818, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.764118, 2390.765757, 0.001639, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.802521, 2390.805538, 0.003017, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.806101, 2390.807780, 0.001679, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.841948, 2390.843812, 0.001864, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.844298, 2390.845988, 0.001690, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.881898, 2390.884332, 0.002434, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.884832, 2390.886742, 0.001910, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.924095, 2390.926191, 0.002096, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.926718, 2390.928395, 0.001677, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.963148, 2390.964985, 0.001837, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2390.965475, 2390.967162, 0.001687, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2391.008832, 2391.010932, 0.002100, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2391.011451, 2391.013083, 0.001632, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2391.015647, 2391.017468, 0.001821, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2391.017950, 2391.019616, 0.001666, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2391.434507, 2392.587790, 1.153283, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.590053, 2392.621825, 0.031772, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.624474, 2392.651062, 0.026588, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.652010, 2392.677927, 0.025917, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.678531, 2392.703624, 0.025093, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.705556, 2392.730770, 0.025214, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.731513, 2392.795490, 0.063977, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.798272, 2392.828487, 0.030215, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.829234, 2392.853570, 0.024336, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.856667, 2392.881974, 0.025307, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.882630, 2392.906845, 0.024215, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.909482, 2392.935070, 0.025588, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.936306, 2392.960259, 0.023953, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.963194, 2392.987575, 0.024381, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2392.988245, 2393.013927, 0.025682, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.014517, 2393.039246, 0.024729, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.039947, 2393.066626, 0.026679, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.067210, 2393.091825, 0.024615, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.094649, 2393.118838, 0.024189, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.119695, 2393.143916, 0.024221, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.146551, 2393.170617, 0.024066, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.171235, 2393.195720, 0.024485, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.197762, 2393.222116, 0.024354, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.222765, 2393.247064, 0.024299, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.249586, 2393.274690, 0.025104, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.275233, 2393.299938, 0.024705, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.302374, 2393.327413, 0.025039, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.328036, 2393.353876, 0.025840, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.354414, 2393.381297, 0.026883, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.386090, 2393.411577, 0.025487, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.412323, 2393.436416, 0.024093, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.438674, 2393.469470, 0.030796, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.470455, 2393.522908, 0.052453, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.523670, 2393.557430, 0.033760, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.561585, 2393.611160, 0.049575, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.612129, 2393.665587, 0.053458, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.668443, 2393.708546, 0.040103, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.709355, 2393.740685, 0.031330, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.741397, 2393.774930, 0.033533, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.777525, 2393.802800, 0.025275, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.803642, 2393.838520, 0.034878, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.840907, 2393.868675, 0.027768, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.869453, 2393.896795, 0.027342, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.899201, 2393.925788, 0.026587, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.926607, 2393.968127, 0.041520, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2393.968743, 2394.002135, 0.033392, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2394.005518, 2394.039303, 0.033785, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2394.040056, 2394.071542, 0.031486, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2394.074377, 2394.108708, 0.034331, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2394.109404, 2394.134385, 0.024981, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2394.135019, 2394.171634, 0.036615, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2394.174468, 2394.224780, 0.050312, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2394.225555, 2510.156402, 115.930847, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.163647, 2510.214923, 0.051276, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.215941, 2510.238761, 0.022820, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.241239, 2510.263929, 0.022690, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.264542, 2510.286920, 0.022378, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.288817, 2510.311754, 0.022937, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.312403, 2510.334557, 0.022154, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.338403, 2510.360605, 0.022202, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.361254, 2510.384211, 0.022957, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.384774, 2510.406518, 0.021744, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.408485, 2510.430548, 0.022063, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.431479, 2510.453655, 0.022176, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.455873, 2510.478132, 0.022259, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.478736, 2510.508268, 0.029532, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.510595, 2510.541937, 0.031342, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.542814, 2510.581024, 0.038210, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.581801, 2510.612929, 0.031128, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.616029, 2510.641152, 0.025123, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.641868, 2510.665882, 0.024014, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.668119, 2510.689313, 0.021194, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.689916, 2510.710352, 0.020436, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.725958, 2510.749376, 0.023418, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.750058, 2510.780543, 0.030485, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.781255, 2510.803197, 0.021942, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.803861, 2510.833998, 0.030137, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.834680, 2510.856622, 0.021942, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.865891, 2510.887629, 0.021738, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.888349, 2510.909936, 0.021587, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.919886, 2510.942158, 0.022272, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.942920, 2510.963639, 0.020719, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.973913, 2510.995866, 0.021953, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2510.996517, 2511.017456, 0.020939, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.026968, 2511.049114, 0.022146, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.049798, 2511.070515, 0.020717, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.081007, 2511.103126, 0.022119, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.103752, 2511.135337, 0.031585, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.136068, 2511.158359, 0.022291, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.167655, 2511.189809, 0.022154, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.190519, 2511.211813, 0.021294, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.222817, 2511.244853, 0.022036, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.245703, 2511.266530, 0.020827, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.276214, 2511.297884, 0.021670, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.298645, 2511.319603, 0.020958, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.329269, 2511.351127, 0.021858, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.352069, 2511.373112, 0.021043, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.383103, 2511.404941, 0.021838, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.405634, 2511.435760, 0.030126, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.436527, 2511.458527, 0.022000, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.459169, 2511.489496, 0.030327, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.490276, 2511.511702, 0.021426, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.521533, 2511.543651, 0.022118, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.544427, 2511.565663, 0.021236, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.575361, 2511.597409, 0.022048, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.598261, 2511.619271, 0.021010, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.628998, 2511.651832, 0.022834, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.652681, 2511.673869, 0.021188, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.683341, 2511.705263, 0.021922, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.705923, 2511.726524, 0.020601, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.735996, 2511.757558, 0.021562, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.758334, 2511.779026, 0.020692, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.789224, 2511.810523, 0.021299, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.811338, 2511.831779, 0.020441, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.832427, 2511.852495, 0.020068, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.862107, 2511.883498, 0.021391, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.884205, 2511.904723, 0.020518, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.914304, 2511.935754, 0.021450, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.936883, 2511.957509, 0.020626, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.958076, 2511.978342, 0.020266, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2511.987840, 2512.008999, 0.021159, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2512.009707, 2512.030055, 0.020348, 0.000000, Submitting task
State, UserThread77387, User Thread State, 2512.039101, 2512.060315, 0.021214, 0.000000, Submitting task
