State, UserThread8362, User Thread State, 2394.368162, 2394.419344, 0.051182, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2394.423870, 2394.426742, 0.002872, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2394.438489, 2394.439482, 0.000993, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2394.440047, 2394.440972, 0.000925, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2394.939367, 2396.498218, 1.558851, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.501617, 2396.536476, 0.034859, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.537180, 2396.552232, 0.015052, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.552908, 2396.567375, 0.014467, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.569045, 2396.582961, 0.013916, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.583767, 2396.598295, 0.014528, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.601854, 2396.615751, 0.013897, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.616261, 2396.629533, 0.013272, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.633507, 2396.659142, 0.025635, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2396.660565, 2397.232467, 0.571902, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.238221, 2397.259528, 0.021307, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.260955, 2397.289366, 0.028411, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.292230, 2397.309972, 0.017742, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.316843, 2397.335634, 0.018791, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.336740, 2397.362878, 0.026138, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.366080, 2397.394044, 0.027964, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.395342, 2397.429324, 0.033982, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.430741, 2397.475536, 0.044795, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.479194, 2397.501531, 0.022337, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.502687, 2397.522354, 0.019667, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.523557, 2397.542990, 0.019433, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.545719, 2397.560611, 0.014892, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.562116, 2397.575034, 0.012918, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.575943, 2397.592605, 0.016662, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.594943, 2397.610694, 0.015751, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.611709, 2397.624531, 0.012822, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.626841, 2397.649519, 0.022678, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.650361, 2397.666040, 0.015679, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.666899, 2397.679468, 0.012569, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.681916, 2397.697504, 0.015588, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.698449, 2397.714870, 0.016421, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.715646, 2397.727918, 0.012272, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.730129, 2397.742104, 0.011975, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.742834, 2397.754277, 0.011443, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.757318, 2397.768728, 0.011410, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.769387, 2397.779423, 0.010036, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.779951, 2397.789937, 0.009986, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.791762, 2397.801561, 0.009799, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.802047, 2397.811630, 0.009583, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.813413, 2397.823025, 0.009612, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.823486, 2397.833010, 0.009524, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.834692, 2397.844309, 0.009617, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.844778, 2397.854285, 0.009507, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.854724, 2397.871650, 0.016926, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.873718, 2397.883650, 0.009932, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.884330, 2397.894647, 0.010317, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.896651, 2397.906943, 0.010292, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.907450, 2397.917145, 0.009695, 0.000000, Submittings task
State, UserThread8362, User Thread State, 2397.920212, 6717.280303, 4319.360091, 0.000000, Waiting all tasks
State, UserThread8362, User Thread State, 6717.318163, 6717.327826, 0.009663, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.328034, 6717.329305, 0.001271, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.330721, 6717.332392, 0.001671, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.345422, 6717.346444, 0.001022, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.347109, 6717.347462, 0.000353, 0.000000, Waiting task
State, UserThread8362, User Thread State, 6717.352223, 6717.353148, 0.000925, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.398680, 6717.399793, 0.001113, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.402836, 6717.403791, 0.000955, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.431148, 6717.432563, 0.001415, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.435059, 6717.435805, 0.000746, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.461359, 6717.462186, 0.000827, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.464413, 6717.465157, 0.000744, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.490088, 6717.490843, 0.000755, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.492477, 6717.493221, 0.000744, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.520061, 6717.520858, 0.000797, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.523421, 6717.524168, 0.000747, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.549382, 6717.550123, 0.000741, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.552044, 6717.552792, 0.000748, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.578005, 6717.578964, 0.000959, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.582179, 6717.583005, 0.000826, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.607798, 6717.608692, 0.000894, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.612487, 6717.613693, 0.001206, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.614634, 6717.615376, 0.000742, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.618322, 6717.619149, 0.000827, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.619722, 6717.620394, 0.000672, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.622101, 6717.622844, 0.000743, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.623361, 6717.624025, 0.000664, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.625364, 6717.626181, 0.000817, 0.000000, Submittings task
