State, UserThread27682, User Thread State, 2690.305367, 2690.337924, 0.032557, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.340854, 2690.342272, 0.001418, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.367968, 2690.369165, 0.001197, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.369689, 2690.370533, 0.000844, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.386265, 2690.387101, 0.000836, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.387464, 2690.388146, 0.000682, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.405643, 2690.406448, 0.000805, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.406756, 2690.407425, 0.000669, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.421632, 2690.422454, 0.000822, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.422772, 2690.423451, 0.000679, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.438262, 2690.439088, 0.000826, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.439400, 2690.440073, 0.000673, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.463114, 2690.464060, 0.000946, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.464424, 2690.465099, 0.000675, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.487307, 2690.488124, 0.000817, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.488441, 2690.489108, 0.000667, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.513378, 2690.514213, 0.000835, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.514597, 2690.515272, 0.000675, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.536879, 2690.537712, 0.000833, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.538029, 2690.538698, 0.000669, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.565871, 2690.566937, 0.001066, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.567271, 2690.568065, 0.000794, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.595497, 2690.596354, 0.000857, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.596723, 2690.597416, 0.000693, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.621059, 2690.621872, 0.000813, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.622202, 2690.622884, 0.000682, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.647009, 2690.647832, 0.000823, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.648162, 2690.648841, 0.000679, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.670116, 2690.670924, 0.000808, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.671241, 2690.671913, 0.000672, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.694962, 2690.695841, 0.000879, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.696163, 2690.696839, 0.000676, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.721724, 2690.722534, 0.000810, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.722881, 2690.723562, 0.000681, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.748767, 2690.749651, 0.000884, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.749986, 2690.750673, 0.000687, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.772152, 2690.772955, 0.000803, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.773309, 2690.774023, 0.000714, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.798767, 2690.799680, 0.000913, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.799991, 2690.800792, 0.000801, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.823981, 2690.824919, 0.000938, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.825260, 2690.825970, 0.000710, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.850319, 2690.851145, 0.000826, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.851451, 2690.852126, 0.000675, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.873497, 2690.874303, 0.000806, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.874631, 2690.875306, 0.000675, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.898675, 2690.899501, 0.000826, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.899836, 2690.900501, 0.000665, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.925136, 2690.926209, 0.001073, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.926599, 2690.927393, 0.000794, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.950646, 2690.951496, 0.000850, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.951861, 2690.952538, 0.000677, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.985710, 2690.986607, 0.000897, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2690.986936, 2690.987616, 0.000680, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.011291, 2691.012100, 0.000809, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.012411, 2691.013085, 0.000674, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.036927, 2691.037773, 0.000846, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.038163, 2691.038850, 0.000687, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.062228, 2691.063123, 0.000895, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.063437, 2691.064113, 0.000676, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.086962, 2691.087784, 0.000822, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.088112, 2691.088787, 0.000675, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.111247, 2691.112059, 0.000812, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.112392, 2691.113072, 0.000680, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.135854, 2691.136688, 0.000834, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.137048, 2691.137720, 0.000672, 0.000000, Submittings task
