BENCH;backend;size;block_size;iterations;thread;gpus;time
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;0;4;6.65008900
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;14;3;8.33659900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;3;6.87446785
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;24;2;8.07060528
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;2;20.41886700
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;3;19.99745400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;16;1;11.51649094
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;22;0;32.55462000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;0;32.63189697
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;4;13.27367300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;0;47.51528931
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;3;17.48884400
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;28;0;21.72845000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;3;13.66229600
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;28;2;47.92898700
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;1;12.04375839
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;16;4;6.57275100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;3;20.14609400
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;28;1;34.26463400
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;10;3;7.41252300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;20;1;21.62513000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;22;3;11.41528700
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;24;0;21.73066900
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;24;0;18.33552300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;6;0;63.28617300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;16;2;9.36332800
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;10;1;13.67663500
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;4;8.26892600
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;16;3;9.15441800
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;0;3;7.93673400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;2;8.62905025
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;4;2;9.26150300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;4;2;8.47948647
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;18;2;8.72610700
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;4;6.60195017
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;4;6.83463478
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;22;0;32.43709500
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;0;21.70929100
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;10;3;6.89795017
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;4;6.44580300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;8;3;16.87878300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;1;30.04679400
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;4;11.72865100
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;18;1;12.59712100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;0;86.45579900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;8;1;32.43960000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;1;14.15183640
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;3;7.27646017
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;12;0;34.76080400
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;2;30.00560100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;18;3;13.01994900
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;14;2;9.41069000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;4;4;14.33444000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;16;4;6.75132418
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;4;16.23964691
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;8;3;16.79442400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;4;6.61900806
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;4;4;6.36225300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;0;18.49642400
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;1;16.43465000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;3;13.73634434
